talk_id,speaker_occupation
1,author
1,educator
2,climate advocate
3,technology columnist
4,activist for environmental justice
5,global health expert
5,data visionary
6,life coach
6,expert in leadership psychology
7,actor
7,comedian
7,playwright
8,architect
9,philosopher
9,cognitive scientist
10,pastor
10,author
11,"co-founder, architecture for humanity"
12,filmmaker
13,epidemiologist
13,philanthropist
14,human-computer interface designer
15,tech visionary
16,violinist
17,pianist
17,composer
18,inventor
18,engineer
19,industrial designer
20,founder of wikipedia
21,education visionary
22,humorist
22,web artist
23,blogger
23,cofounder
23,six apart
24,anthropologist
24,expert on love
25,playwright
25,activist
26,quantum physicist
27,evolutionary biologist
28,economist
29,writer
30,psychologist
30,happiness expert
31,psychologist
32,neuroscience
32,cancer researcher
33,crusader against aging
34,"founder, grameenphone"
35,investor
35,advocate for moral leadership
36,nonprofit venture capitalist
37,president-elect of afghanistan
38,aircraft engineer
39,arctic explorer
40,musician
40,activist
41,photographer
42,biomedical inventor
43,mathematician
43,statistician
44,skeptic
45,inventor
45,futurist
46,digital visionary
47,musician
47,activist
48,marketer
48,success analyst
49,performance poet
49,multimedia artist
50,physician
50,author
51,author
52,global prioritizer
53,anthropologist
53,ethnobotanist
54,photographer
55,astrophysicist
56,journalist
56,philosopher
57,writer
58,innovation consultant
59,dance company
60,actor
60,playwright
60,social critic
61,inventor
62,physicist
62,personal fab pioneer
63,journalist
64,activist
65,biologist
66,photojournalist
67,primatologist
67,environmentalist
68,marketer
68,author
69,biologist
69,nobel laureate
70,master of visual illusions
71,inventor
72,futurist
73,graphic designer
74,planetary futurist
75,architect
76,car designer
77,singer
77,performance artist
78,designer
78,creative director
78,ideo
79,artist
80,philosopher
81,science writer
81,innovation consultant
81,conservationist
82,biologist
82,genetics pioneer
83,experimental audio-visual artist
84,primate authority
85,nature photographer
86,biologist
86,biomechanics researcher
87,singer
87,songwriter
88,cellist
88,singer-songwriter
89,philosopher
89,cognitive scientist
90,musician
91,architect
92,online commerce pioneer
93,performance poet
93,multimedia artist
94,singer
94,songwriter
95,singer
95,songwriter
96,priest
97,evolutionary biologist
98,satirist
99,musician
100,drone maker
101,fiddler
102,computer scientist
102,entrepreneur
102,philanthropist
103,singer
103,songwriter
104,social critic
105,designer
105,educator
106,environmentalist
106,futurist
107,computer designer
107,brain researcher
108,marine biologist
109,software architect
110,venture capitalist
111,economist
112,interaction designer
112,software developer
113,buddhist scholar
114,architect
114,experience designer
115,military strategist
116,string quartet
117,general manager of microsoft's virtual earth
118,global health expert
118,data visionary
119,explorer
119,inventor
119,outer space dreamer
120,philosopher
120,cognitive scientist
121,medical futurist
122,artist
122,storyteller
122,internet anthropologist
123,assumption-busting economist
124,game designer
125,performance poet
125,multimedia artist
126,medical animator
127,marketing expert
128,economist
129,economist
130,inventor
131,investment banker
132,university founder
133,novelist
133,poet
134,investor
134,advocate for moral leadership
135,musician
135,activist
136,musician
136,activist
137,producer
138,inventor
139,dictionary editor
140,journalist
141,artist
142,psychologist
143,psychologist
144,filmmaker
145,paleoanthropologist
146,artist
147,technology forecaster 
148,engineer
149,planetary scientist
150,dancer
151,entrepreneur
152,roboticist
153,illustrator
153,author
154,user anthropologist
155,brain expert
156,economist
157,doctor
158,monk
158,author
158,photographer
159,legal activist
160,dna origamist
161,environmental scientist
162,futurist
163,epidemiologist
163,philanthropist
164,biologist
165,mathematician
166,designer
167,physicist
168,physicist
168,energy guru
169,mathemagician
170,psychologist
171,connector
