funny,beautiful,ingenious,courageous,longwinded,confusing,informative,fascinating,unconvincing,persuasive,jaw_dropping,ok,obnoxious,inspiring,total,positive,negative,talk_id
19645,4573,6073,3253,387,242,7346,10581,300,10704,4439,1174,209,24924,93850,91538,1138,1
544,58,56,139,113,62,443,132,258,268,116,203,131,413,2936,2169,564,2
964,60,183,45,78,27,395,166,104,230,54,146,142,230,2824,2327,351,3
59,291,105,760,53,32,380,132,36,460,230,85,35,1070,3728,3487,156,4
1390,942,3202,318,110,72,5433,4606,67,2542,3736,248,61,2893,25620,25062,310,5
1102,706,397,721,285,301,1038,1350,377,2423,669,441,335,5211,15356,13617,1298,6
2484,277,320,477,193,72,226,316,225,311,61,308,290,438,5998,4910,780,7
9,98,195,34,26,25,121,153,26,37,57,63,5,175,1024,879,82,8
60,145,211,562,177,70,623,313,283,764,60,154,83,441,3946,3179,613,9
26,767,116,476,306,111,304,459,838,1543,209,245,371,2556,8327,6456,1626,10
18,51,258,169,34,14,187,148,21,160,66,39,7,608,1780,1665,76,11
5,70,20,96,16,7,33,41,14,42,20,26,1,201,592,528,38,12
3,16,57,86,9,2,188,83,5,111,70,11,5,240,886,854,21,13
104,277,1014,34,55,19,461,919,32,77,4643,188,23,471,8317,8000,129,14
14,32,89,83,20,6,104,67,31,49,29,30,11,216,781,683,68,15
190,1671,190,143,29,10,22,635,15,41,2280,95,39,879,6239,6051,93,16
24,1107,197,85,35,22,32,454,53,22,1997,68,31,552,4679,4470,141,17
21,67,321,150,19,7,279,159,13,140,63,30,4,515,1788,1715,43,18
49,259,185,79,119,80,71,220,113,22,93,68,210,363,1931,1341,522,19
19,104,170,63,46,13,478,181,14,73,54,68,11,277,1571,1419,84,20
12,22,117,52,30,8,320,111,26,120,26,69,6,258,1177,1038,70,21
2799,74,387,75,266,203,61,177,137,20,80,450,239,196,5164,3869,845,22
106,54,9,33,119,40,82,34,67,23,3,87,41,86,784,430,267,23
780,864,345,177,245,115,2591,2106,249,1513,207,394,111,1083,10780,9666,720,24
109,342,44,654,31,13,154,144,27,97,97,26,43,789,2570,2430,114,25
131,91,269,92,45,42,446,515,49,1234,139,73,21,397,3544,3314,157,26
127,333,417,112,91,42,653,1281,41,367,324,93,39,674,4594,4288,213,27
485,12,175,93,35,7,532,404,19,109,61,44,17,43,2036,1914,78,28
1668,333,1127,87,190,80,2004,2082,115,1014,290,361,51,1276,10678,9881,436,29
1728,444,1166,248,169,241,3899,4303,174,2355,1047,439,67,3554,19834,18744,651,30
1526,277,1201,400,178,54,2532,2491,324,2478,521,421,115,2427,14945,13853,671,31
13,68,279,171,84,30,277,356,38,93,152,75,58,377,2071,1786,210,32
215,65,297,350,215,206,536,812,309,1359,337,145,120,518,5484,4489,850,33
1,6,112,55,16,11,153,61,8,66,18,32,3,164,706,636,38,34
5,60,30,53,5,4,138,62,16,92,6,21,3,260,755,706,28,35
1,11,42,53,31,11,101,27,4,51,3,25,4,71,435,360,50,36
9,48,31,139,21,25,218,44,35,112,35,51,11,113,892,749,92,37
63,30,86,168,70,23,336,247,77,198,63,115,47,498,2021,1689,217,38
80,44,7,274,10,1,44,124,18,22,74,20,7,288,1013,957,36,39
26,68,22,104,41,12,80,51,30,145,39,24,33,294,969,829,116,40
8,106,20,52,58,11,184,149,10,64,95,27,10,158,952,836,89,41
1,6,126,11,18,4,115,74,20,27,18,23,8,48,499,426,50,42
103,13,106,15,98,67,844,357,2,364,73,75,11,87,2215,1962,178,43
2751,136,509,109,37,51,1344,799,151,1958,133,237,157,373,8745,8112,396,44
18,55,207,61,150,91,806,691,111,237,309,141,27,388,3292,2772,379,45
11,52,192,34,147,87,269,311,136,1084,49,111,24,279,2786,2281,394,46
5,23,36,180,25,8,145,27,14,92,33,36,3,222,849,763,50,47
2966,576,638,457,27,43,1912,777,213,1433,251,685,57,4978,15013,13988,340,48
949,408,377,44,41,45,21,186,56,25,94,135,73,195,2649,2299,215,49
54,8,31,31,8,28,749,85,61,331,62,133,14,151,1746,1502,111,50
3,18,21,45,70,36,265,130,97,73,32,62,47,105,1004,692,250,51
16,16,139,283,79,63,549,169,537,1668,67,111,212,280,4189,3187,891,52
68,563,136,192,55,24,698,928,54,426,380,75,46,970,4615,4361,179,53
5,126,16,61,30,14,116,88,25,33,17,24,7,157,719,619,76,54
47,214,132,63,109,27,607,737,60,188,117,175,21,460,2957,2565,217,55
342,30,121,140,102,55,251,167,107,288,23,129,40,343,2138,1705,304,56
20,13,26,10,9,5,384,201,5,72,11,66,2,94,918,831,21,57
11,32,116,29,37,10,355,200,16,249,36,67,3,408,1569,1436,66,58
21,1810,420,142,58,53,18,846,22,34,2011,81,22,525,6063,5827,155,59
149,186,151,179,14,31,67,224,7,36,146,37,39,208,1474,1346,91,60
3,4,89,4,31,94,98,84,22,12,23,53,6,48,571,365,153,61
