talk_id,tags
1,children
1,creativity
1,culture
1,dance
1,education
1,parenting
1,teaching
2,alternative energy
2,cars
2,climate change
2,culture
2,environment
2,global issues
2,science
2,sustainability
2,technology
3,computers
3,entertainment
3,interface design
3,media
3,music
3,performance
3,simplicity
3,software
3,technology
4,MacArthur grant
4,activism
4,business
4,cities
4,environment
4,green
4,inequality
4,politics
4,pollution
5,Africa
5,Asia
5,Google
5,demo
5,economics
5,global development
5,global issues
5,health
5,math
5,statistics
5,visualizations
6,business
6,culture
6,entertainment
6,goal-setting
6,motivation
6,potential
6,psychology
7,Christianity
7,God
7,atheism
7,comedy
7,culture
7,humor
7,performance
7,religion
7,storytelling
8,architecture
8,collaboration
8,culture
8,design
8,library
9,God
9,TED Brain Trust
9,atheism
9,brain
9,cognitive science
9,consciousness
9,evolution
9,philosophy
9,religion
10,Christianity
10,God
10,culture
10,happiness
10,leadership
10,motivation
10,philanthropy
10,religion
11,activism
11,architecture
11,collaboration
11,culture
11,design
11,disaster relief
11,global issues
11,invention
11,open-source
11,philanthropy
12,TED Prize
12,art
12,culture
12,entertainment
12,film
12,global issues
12,movies
12,peace
12,social change
12,storytelling
13,TED Prize
13,collaboration
13,disease
13,ebola
13,global issues
13,health
13,science
13,technology
14,demo
14,design
14,interface design
14,technology
15,children
15,design
15,education
15,entrepreneur
15,global issues
15,philanthropy
15,social change
15,technology
16,entertainment
16,music
16,performance
16,violin
16,wunderkind
16,youth
17,creativity
17,entertainment
17,music
17,performance
17,piano
17,wunderkind
18,MacArthur grant
18,alternative energy
18,design
18,engineering
18,global issues
18,industrial design
18,invention
18,simplicity
19,DNA
19,biology
19,creativity
19,design
19,industrial design
19,invention
19,nature
19,product design
19,science and art
20,business
20,collaboration
20,culture
20,invention
20,media
20,open-source
20,technology
20,wikipedia
21,business
21,collaboration
21,culture
21,global issues
21,library
21,open-source
21,technology
22,collaboration
22,comedy
22,community
22,culture
22,dance
22,demo
22,entertainment
22,humor
22,performance
22,software
23,business
23,communication
23,community
23,culture
23,design
23,entertainment
23,software
23,storytelling
24,cognitive science
24,culture
24,evolution
24,gender
24,love
24,psychology
24,relationships
24,science
25,culture
25,entertainment
25,gender
25,global issues
25,happiness
25,performance
25,storytelling
25,theater
25,women
26,climate change
26,cosmos
26,culture
26,environment
26,global issues
26,physics
26,science
26,technology
26,universe
27,astronomy
27,biology
27,cognitive science
27,cosmos
27,evolution
27,physics
27,psychology
27,science
28,business
28,cities
28,culture
28,economics
28,narcotics
28,race
29,business
29,choice
29,consumerism
29,culture
29,economics
29,food
29,marketing
29,media
29,storytelling
30,TED Brain Trust
30,brain
30,choice
30,culture
30,evolution
30,happiness
30,psychology
30,science
31,business
31,choice
31,culture
31,decision-making
31,economics
31,happiness
31,personal growth
31,potential
31,psychology
32,cancer
32,disease
32,health
32,science
32,technology
32,wunderkind
33,aging
33,biotech
33,disease
33,engineering
33,future
33,health care
33,science
33,technology
34,alternative energy
34,business
34,communication
34,culture
34,global development
34,global issues
34,invention
34,investment
34,microfinance
34,poverty
34,technology
34,telecom
34,transportation
35,Africa
35,TED Brain Trust
35,business
35,culture
35,entrepreneur
35,global development
35,investment
35,microfinance
35,philanthropy
35,poverty
36,business
36,culture
36,global issues
36,investment
36,media
36,philanthropy
37,business
37,corruption
37,culture
37,economics
37,entrepreneur
37,global development
37,global issues
37,investment
37,military
37,policy
37,politics
37,poverty
38,NASA
38,aircraft
38,business
38,design
38,engineering
38,entrepreneur
38,flight
38,industrial design
38,invention
38,rocket science
39,climate change
39,culture
39,exploration
39,global issues
39,personal growth
39,potential
39,sports
39,technology
39,travel
40,AIDS
40,Africa
40,activism
40,entertainment
40,global issues
40,philanthropy
40,poverty
40,social change
41,TED Prize
41,art
41,cities
41,culture
41,design
41,environment
41,photography
41,pollution
41,social change
42,TED Prize
42,business
42,disease
42,health care
42,invention
42,medicine
42,science
42,technology
43,culture
43,genetics
43,science
43,statistics
43,technology
44,culture
44,entertainment
44,faith
44,illusion
44,religion
44,science
45,TED Brain Trust
45,biotech
45,business
45,culture
45,future
45,invention
45,robots
45,science
45,technology
46,choice
46,culture
46,evolution
46,future
46,history
46,philosophy
46,science
46,technology
47,TED Brain Trust
47,activism
47,art
47,collaboration
47,culture
47,film
47,global issues
47,music
47,social change
47,storytelling
48,business
48,culture
48,entertainment
48,happiness
48,psychology
48,success
48,work
49,culture
49,entertainment
49,love
49,performance
49,philosophy
49,poetry
50,culture
50,disease
50,food
50,global issues
50,health
50,health care
50,obesity
50,science
51,business
51,cities
51,culture
51,entrepreneur
51,future
51,global development
51,global issues
51,policy
51,poverty
51,social change
52,AIDS
52,Africa
52,business
52,choice
52,climate change
52,culture
52,disaster relief
52,economics
52,environment
52,future
53,anthropology
53,culture
53,environment
53,film
53,global issues
53,language
53,photography
54,activism
54,art
54,culture
54,design
54,film
54,global issues
54,photography
54,social change
54,storytelling
55,astronomy
55,climate change
55,complexity
55,cosmos
55,science
55,social change
55,technology
55,time
55,universe
56,collaboration
56,culture
56,evolutionary psychology
56,global issues
56,war
57,cities
57,culture
57,design
57,disease
57,health
57,history
57,map
57,science
57,urban planning
58,business
58,collaboration
58,culture
58,economics
58,innovation
58,invention
58,media
58,open-source
58,product design
59,dance
59,entertainment
59,nature
59,performance
59,science
59,science and art
60,MacArthur grant
60,United States
60,culture
60,entertainment
60,history
60,interview
60,performance
60,performance art
60,race
60,sports
60,storytelling
60,theater
61,MacArthur grant
61,collaboration
61,design
61,innovation
61,invention
61,materials
61,open-source
61,product design
61,technology
62,code
62,computers
62,culture
62,education
62,engineering
62,invention
62,materials
62,science
62,social change
62,technology
63,choice
63,culture
63,happiness
63,health
63,parenting
63,personal growth
63,potential
63,psychology
63,work-life balance
64,Africa
64,TED Prize
64,business
64,culture
64,economics
64,global issues
64,health care
64,technology
65,TED Prize
